Vertical,Pais,Lado,Empresa,Contacto,Puesto,Funcion,Ciudad,Estado,Email,Telefono,Segmento,Prioridad,LinkedIn,Fuente,Origen,electronica,nivel,region,severidad,motivo_riesgo
Electronica,Mexico,Demanda,Safran Electronics & Defense,Harumi Kiyota,"Manager, Manufacturing",Técnico / Procesos,Mexicali,BC,harumi.kiyota@safrangroup.com (inferido),,Aeroespacial/Defensa,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Gerente,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,SIIX EMS Mexico,Oscar Adrian Sanchez,"Manager, SMT Maintenance & Process Engineering",Técnico / Procesos,San Luis Potosi,San Luis Potosi,osanchez@siix.co.jp,,Automotriz,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Gerente,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,SIT SpA,Grecia Siller,Electronic Category Manager,Otro,,Por confirmar,grecia.siller@sitgroup.it,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Gerente,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,Fagor Electronica,Jairo Aguirre Urreta,EMS Business Director,Otro,Arrasate,(Espana),jaguirreurreta@fagorelectronica.es,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Director,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,Fagor Electronica,Carlos Martinez,(por confirmar),Otro,(por confirmar),(Espana),cmartinez@fagorelectronica.es,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,Sumitomo Electric (SEI),Takahisa Kawai,(por confirmar),Otro,(por confirmar),(Japon),kawai-takahisa@sei.co.jp,,Automotriz,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,American Axle & Manufacturing,Kevin Espinoza Vázquez,Indirect Buyer AAM,Compras / Sourcing,Irapuato,(por confirmar),kevin_espinoza95@outlook.com,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Director,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,bos,Evelyn Rodriguez,compras,Compras / Sourcing,(por confirmar),(por confirmar),evrodriguez@bos.de,,Automotriz,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,Centracore,Ivan Valencia,Compras,Compras / Sourcing,(por confirmar),(por confirmar),compras@centracore.com,461 252 1089,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,dahs.co.kr,Imelda Garcia,Comprador,Compras / Sourcing,(por confirmar),(por confirmar),comprador1@dahs.co.kr,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,"GST AutoLeather, Inc.",Daniel Escuder,Purchasing Coordinator,Compras / Sourcing,"León, Guanajuato, México",(por confirmar),daniel.escuder@outlook.com,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,C-Level,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"Revere Plastics Systems, LLC",Alejandro Rodriguez,Junior Buyer,Compras / Sourcing,"Coahuila de Zaragoza, México",(por confirmar),ardzfdz13@outlook.com,8443217653,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,sag.at,David Gomez Hernandez,Ingeniero industrial,Técnico / Procesos,(por confirmar),Edo Mex,david.gomez@sag.at,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,Stepan Company,Eduardo Portales,Indirect Purchasing Coordinator,Compras / Sourcing,Tamaulipas,(por confirmar),eduardo.portales@outlook.com,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,C-Level,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,utcj.edu.mx,Julieta Trujillo,Comprador,Compras / Sourcing,(por confirmar),(por confirmar),julieta_trujillo@utcj.edu.mx,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,"dominio educativo, no es la empresa"
Electronica,Mexico,Demanda,"INTEC DE MÉXICO, S.A.P.I. DE C.V.",Lic. Martín Granados,Gerente de Compras,Compras / Sourcing,"México, CDMX",,compras@intec.com.mx,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Gerente,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"POTENCIA INDUSTRIAL, S.A. DE C.V.",Lic. Roberto Gotlfried Blackmore,Director General,Otro,"México, CDMX",,potenciasa@aol.com,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Director,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ELECTROTÉRMICA NACIONAL, S.A. DE C.V.",Lic. Tomás Strausz Feher,Director General,Otro,"México, CDMX",,info@ensa.com.mx,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Director,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"TECNOLOGÍAS UNIDAS, S.A. DE C.V.",Sra. Fátima Garduño,Gerente de Compras,Compras / Sourcing,"México, CDMX",,compras@complet.com.mx,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Gerente,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"DURO DE MÉXICO, S.A. DE C.V.",Srita. Rosalina Varela Rojas,Encargado de Compras,Compras / Sourcing,"Tultitlán, Méx.",,compras@duromex.com.mx,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,BOLT ENERGY,(contacto general),(giro: FABRICACIÓN DE EQUIPOS Y APARA),Otro,Torreón,Coahuila de Zaragoza,bemexsoluciones@gmail.com,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,AR CONTROLS LLC,Rafael Cruz,,Otro,,,arind@prodigy.net.mx,656-2150127,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,Automation Supply,Ana Lucero,,Otro,,,sales@automation-supply.net,915 849-1309,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"AUTOMATIZACIONES RUSEMI, S. DE RL. DE CV.",Oscar Gomez,,Otro,,,ade_juarez@prodigy.net.mx,+52 656 6266455,Semiconductores,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,FX AUTOMATION,Pavel Vazquez,,Otro,,,pavel.vazquez@outlook.com,6566995876,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,MOL AUTOMATION,Beatriz Mendez,,Otro,,,compras@molautomation.com,+52 656 406 0786,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,SHEPHERD CONTROLS & ASSOCIATES,Juan Lopez,,Otro,,,jslopezflores@miners.utep.edu,9153551684,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,"dominio educativo, no es la empresa"
Electronica,Mexico,Demanda,VI Automation,Fernando Guillen,,Otro,,,info@viautomation.com,9154004254,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"CORPORACIÓN MANDRINKA, S.A. DE C.V.",Ambrosio Pérez,Jefe de Compras,Compras / Sourcing,"Cuautitlán Izcalli, Méx.",,compras@crossline.com.mx,,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,Gerente,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"ELECTRO OPTICAS SUPERIOR, S.A. DE C.V.",(contacto general),(giro: FABRIC. DE PLACAS Y ARNESES DETE),Otro,TIJUANA,BAJA CALIFORNIA,plantmgr@telnor.net; otoniel.bedolla@lmco.com,(664 )6261530; 6261531,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,"STC INTERNACIONAL, S.A. DE C.V.",(contacto general),(giro: SUBENSAMBLE DE ELECTRONICA),Otro,TIJUANA,BAJA CALIFORNIA,melchimg@yahoo.com,(664 )6981771,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"SWITCH LUZ, S.A.",(contacto general),(giro: FABRICACION Y ENSAMBLE DE ARTS. ),Otro,TIJUANA,BAJA CALIFORNIA,davidberruecos75@hotmail.com,(664 )6868088; 6868903,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"TRANSMEX  INTERNACIONAL,  S.A.",(contacto general),(giro: ENSAMBLE DE CIRCUITOS IMPRESOS (),Otro,TIJUANA,BAJA CALIFORNIA,transmex@telnor.net; mario.rodriguez@transmex.net,(664 )6815027; 6815028,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,"TOA MANUFACTURING DE MEXICO, S.A. DE C.V.",(contacto general),(giro: ENSAMBLE DE COMPONENTES ELECTRON),Otro,TIJUANA,BAJA CALIFORNIA,sales@toaeande.com,(664 )6274918,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"ENSAMBLADORA ALTECSA, S.A. DE C.V.",(contacto general),(giro: MAQUILA DE ARTICULOS ELECTRONICO),Otro,TIJUANA,BAJA CALIFORNIA,vicmarassy@prodigy.net.mx,(664 )6806459,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"INDUSTRIA MEXICANA DE ENSAMBLE ELECTRONICO, S.A.",(contacto general),(giro: MANUFACTURA DE APARATOS ELECTRON),Técnico / Procesos,TIJUANA,BAJA CALIFORNIA,1imeesaa@prodigy.net.mx,(664 )6231403,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"PHOTOVOLTAIC & ELECTRIC, S.A. DE C.V.",(contacto general),(giro: ENSAMBLE DE PANELES SOLARES Y EL),Otro,TIJUANA,BAJA CALIFORNIA,martin2132@hotmail.com,(664 )9004968,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"MANUFACTURERA BAJAMEX, S.A. DE C.V.",(contacto general),(giro: MAQUILA DE PRODUCTOS ELECTRONICO),Otro,TIJUANA,BAJA CALIFORNIA,mba1@prodigy.net.mx,(664 )6239077,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"KEY EAST DE MEXICO, S.A. DE C.V.",(contacto general),(giro: MAQUILA ELECTRONICA),Otro,TIJUANA,BAJA CALIFORNIA,veferdi@hotmail.com,(664 )6860752,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,AJOSIA ENSAMBLADORA Y MANUFACTURAS S.A. DE C.V.,(contacto general),(giro: ENSAMBLE DE COMPONENTE ELECTRONI),Otro,TECATE,BAJA CALIFORNIA,info@ajosia.com,(665 )6543190,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"COMPLEJO MANUFACTURERO DE BAJA, S. DE R.L. DE C.V.",(contacto general),(giro: MAQUILA DE PROD. ELECTRONICOS PA),Otro,TIJUANA,BAJA CALIFORNIA,bajamex1@prodigy.net.mx,(664 )6239077,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"PULSE POWER DE MEXICO, S.A. DE C.V.",(contacto general),(giro: ENSAMBLE DE TARJETAS ELECTRICAS ),Otro,TIJUANA,BAJA CALIFORNIA,oetchverry@pulse cm.com,(664 )6249300,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,"STARION MEXICO, S.A. DE C.V.",(contacto general),(giro: PARTES ELECTRONICAS PARA T.V.),Otro,MEXICALI,BAJA CALIFORNIA,rtharos@yahoo.com.mx,(686 )5800004,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"VIGOBYTE DE MEXICO, S.A. DE C.V.",(contacto general),(giro: ENSAMBLE DE DISPOSITIVOS ELECTRO),Otro,TIJUANA,BAJA CALIFORNIA,ventas@vigobyte.com.mx,(664)6822969,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"UGCOM, S.A. DE C.V.",(contacto general),(giro: MANUFACTURA; ENSAMBLE; FABRICACI),Técnico / Procesos,TIJUANA,BAJA CALIFORNIA,howardr@gmail.com,(664)6255570,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,PACIFIC TRANSFORMERS DE MEXICO S.A DE C.V.,(contacto general),(giro: FABRICACION; ENSAMBLE; SUBENSAMB),Otro,TIJUANA,BAJA CALIFORNIA,roshi_borjorgez@yahoo.com.mx,(664)686-94-16,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,TROMBETTA S. DE R.L. DE C.V.,(contacto general),(giro: FABRICACION DE GIROS ELECTRONICO),Otro,TIJUANA,BAJA CALIFORNIA,itcesar2002@yahoo.com,(664)6261687,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,ZUBIA  DIAZ  RAMON,(contacto general),(giro: FABRICACIÓN DE TRANSFORMADORES E),Otro,CHIHUAHUA,CHIHUAHUA,eie_inelsa@hotmail.com,(614 )4245619,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,GÓNZALEZ RODRIGUEZ MARIA NATIVIDAD,(contacto general),(giro: ELECTRONICA EN COMUNICACIÓN),Otro,CUAUHTEMOC,CHIHUAHUA,rudy_32@hotmail.com,(625 )5820380,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,NUÑEZ GUTIERREZ MARTHA ELENA,(contacto general),(giro: SEGURIDAD ELECTRONICA),Otro,CHIHUAHUA,CHIHUAHUA,alarmasdetektor@hotmail.com,(614 )4157607,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,SURTIDORA ELECTRONEUMATICA INDUSTRIAL SA DE CV,(contacto general),(giro: compra vetna de equipo electrico),Compras / Sourcing,DELICIAS,CHIHUAHUA,grupoosma12@yahoo.com.mx,(639)4722203,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ARAD, S.A. DE C.V.",(contacto general),(giro: ENSAMBLES DE TRANSFORMADORES Y B),Otro,PIEDRAS NEGRAS,COAHUILA,pramard@prodigy.net.mx,(878 )7824181,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"CAPITAL INTELECTUAL APLICADO, S.A. DE C.V.",(contacto general),(giro: MANUFACTURA DE PRODUCTOS ELECTRO),Técnico / Procesos,SALTILLO,COAHUILA,oscarrdz@prodigy.net.mx,(844 )4319314,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,DE LA GARZA JIMENEZ DORA ELENA,(contacto general),(giro: FABRICACION DE CORTINAS ENROLLAb),Otro,PIEDRAS NEGRAS,COAHUILA,gerardodiaz27@hotmail.com,(878)7822526,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"SIGMA INGENIERIA, S.A. DE C.V.",(contacto general),(giro: OBRA ELECTRONICA),Otro,MONCLOVA,COAHUILA,sigmadmin@prodigy.net.mx,(866)632 59 96,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,HERNANDEZ GONZALEZ JUANA MARIA ELENA,(contacto general),(giro: SALIDA ELECTRONICA DE NEGATIVOS),Otro,SALTILLO,COAHUILA,cd.saltillo@gmail.com,(844)410 86 08,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ESTICO, S.A. DE C.V.",(contacto general),(giro: FABRICACION CONDUCTORES ELECTRIC),Otro,GUSTAVO A. MADERO,DISTRITO FEDERAL,estico@prodigy.net.mx,(55 )5750 03 57,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"INDUSTRIAS MAN DE MEXICO, S.A. DE C.V.",(contacto general),(giro: FABRICACION DE APARATOS ELECTRIC),Otro,IZTAPALAPA,DISTRITO FEDERAL,ventas@inmanmex.com,(55 )55818011,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,OROZCO ZEPEDA JORGE ENRIQUE,(contacto general),(giro: FABRICACION DE KITS ELECTRONICOS),Otro,CUAUHTEMOC,DISTRITO FEDERAL,imorikits@hotmail.com,(55 )56518250,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,ECHANDI AGUILAR EDUARDO,(contacto general),(giro: FABRICACION DE MATERIAL ELECTRIC),Materiales / Planeación,AZCAPOTZALCO,DISTRITO FEDERAL,elet_ind1@yahoo.com,(55 )5561 5008,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"INDUSTRIAS CAR, S.A. DE C.V.",(contacto general),(giro: FABRICACION DE ALAMBRES;SOLDADUR),Otro,TLAHUAC,DISTRITO FEDERAL,industrias_car@hotmail.com,(55 )5841 4333,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"SISTEMAS CENTRALES DE LUBRICACION, S.A. DE C.V.",(contacto general),(giro: FABRICACION D SISTEMAS AUTOMATIZ),Otro,TLALPAN,DISTRITO FEDERAL,info@sicelub.com,(55 )5528 5014,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
