empresa,nacionalidad,giro,tel,estado,evidencia,calidad_fuente
"CYROXTECH, S. DE R.L. DE C.V.",Mexicana,Manto a equipos electronicos y linea SMT,442 348 11 78,SMT CONFIRMADO,El giro en el directorio PIQ dice literalmente 'Mantto a equipos electronicos y linea SMT'. smtnet lo clasifica como SMT Equipment Service/Sales. Tel 442 348 1178,Fuente primaria: directorio + sitio propio
"HARMAN DE MEXICO, S. DE R.L. DE C.V.",Americana,Automotriz,442 238 21 00,SMT CONFIRMADO,"Vacante Process Engineer SMT en Queretaro: cambios de modelo en linea SMT, modificacion de programas, diagnostico de fallas | CONFIRMADO en LinkedIn: 'Process Engineer SMT' en Queretaro, mas Launch Engineer e Industrial Engineering Manufacturing",Fuente directa: LinkedIn publico (mx.linkedin.com/jobs)
"KOSTAL MEXICANA, S.A. DE C.V.",Alemana,Automotriz,442 196 04 1,SMT CONFIRMADO,Vacante Gerente de Produccion SMT en Queretaro,Resumen de buscador
LEAR CORPORATION,Americana,Automotriz Vialidad Benito Jurez 118,442 103 38 00,SMT CONFIRMADO,Vacantes de SMT level test engineer y SMT & Backend operations supervisor,Resumen de buscador + jobs.lear.com
"VALEO ILUMINACION, S.A. DE C.V. VISTRONICS",Francesa,Fabricacin de sistemas elctricos,442 296 59 00,SMT CONFIRMADO,"Valeo describe el area SMT como 'el corazon de la planta', donde produce tarjetas para camaras y sensores. Av. Industria Minera 502, enfrente de Harman (503) | LinkedIn: 5 vacantes de ingenieria electronica en Queretaro (Electronic Engineer x2, Electronic Systems Trainee, Industrial Digital Engineer, R&D Trainee)",Fuente primaria + LinkedIn publico
"VALEO SISTEMAS ELECTRICOS, S.A. DE C.V.",Francesa,Automotriz,442 211 66 00,SMT PROBABLE,"Misma empresa, entidad hermana en el mismo parque. Vacantes de ingenieria electronica en Queretaro",Indirecto
"VALEO SPECIAL PRODUCTS, S.A. DE C.V.",Francesa,Manufactura automotriz,442 211 66 00,SMT PROBABLE,"Misma empresa, entidad hermana en el mismo parque",Indirecto
"HITACHI ASTEMO MEXICO, S.A. DE C.V.",Japonesa,Automotriz,442 500 21 00,ELECTRONICA SIN SMT,"110 vacantes en Queretaro (80 operativas, 30 administrativas, incluye compradores). Ninguna nominal de SMT. OJO: esta en la lista de correos en riesgo por dominio de matriz japonesa",somosindustria.com
"SAFRAN LANDING SERVICES AMERICAS, S.A. DE C.V",Francesa,Aeronutico,442 198 5800,ELECTRONICA SIN SMT,"6 plantas en Queretaro y hasta 1,000 vacantes al ano, pero los perfiles son aeronautico/mecanico: CNC, NDT, metrologia, metodos. Ninguna SMT",Resumen de buscador
"SAMSUNG ELECTRONICS DIGITAL APPLIANCES MEXICO, S.A. DE C.V.",,Sur Coreana Fabricacin y venta de linea blanca,442 296 90 00,ELECTRONICA SIN SMT,Contrata en Queretaro pero el giro es linea blanca y ninguna vacante menciona SMT,Resumen de buscador
"DANFOSS WF QUERETARO(EATON CONTROLS, S. DE R.L. DE C.V.",Danesa,Maquiladora componentes hidrulicos,442 290 51 56,SIN EVIDENCIA,"20+ vacantes en Queretaro entre Eaton y Danfoss, ninguna nominal de SMT",Resumen de buscador
"E.G.O. COMPONENTES ELECTRONICOS, S.A. DE C.V.",Alemana,Manufactura Benito Jurez 125,442 153 44 00,SIN EVIDENCIA,Buscada dos veces. El nombre dice componentes electronicos pero no aparece ninguna vacante atribuida a la empresa,Busqueda sin resultado
EATON TECHNOLOGIES,Americana,Automotriz,442 229 49 00,SIN EVIDENCIA,"20+ vacantes en Queretaro entre Eaton y Danfoss, ninguna nominal de SMT",Resumen de buscador
"EISSMANN, S.A. DE CV.",Americana,Automotriz Jalpan de Serra 134,442 890 92 00,SIN EVIDENCIA,Sin resultados en dos busquedas,Busqueda sin resultado
"PANDUIT MEXICO, S. EN N.C. DE C.V",Americana,Telecomunicaciones,55 5998 36 50,SIN EVIDENCIA,Giro telecomunicaciones. No aparece vacante atribuida,Busqueda sin resultado
"DR ENC, S. A. DE C.V.",Coreana,Fabricacin de linea blanca,442 414 05 81,DESCARTADA,"El directorio dice linea blanca pero la realidad es inyeccion de plastico: operadores de prensa, tecnicos de inyeccion, disenadores de troquel",Resumen de buscador
LEMA COMPONENTS S.A. DE C.V. MEK GROUP,,Espaola Automotriz Valle de Quertaro 102,442 240 96 26,DESCARTADA,Barras de acero y componentes mecanicos,Resumen de buscador
"NORGREN MANUFACTURING DE MEXICO, S.A. DE C.V. (IMI PRECISION",Americana,Manufactura Industrial y Automotriz,442 229 50 50,DESCARTADA,"Control de fluidos y movimiento, maquinaria. No electronica",Resumen de buscador
"NOVEM CAR INTERIOR DESIGN MEXICO, S.A. DE C.V.",Alemana,Automotriz,442 713 63 02,DESCARTADA,"191 vacantes en Queretaro pero el giro es elementos decorativos de interior, no electronica",Resumen de buscador
"ABC TECHNOLOGIES WMG MEXICO, S.A. DE C.V.",Canadiense,Automotriz,442 153 5760,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
