ciudad,empresa,vacante_smt,en_nuestra_base,nota
San Luis Potosi,G&W Electric Co.,MEX Electronic Assembler (x2) + Ensamblador de Switch,NO,Cuenta nueva. Ensamble electronico en SLP.
San Luis Potosi,AUMOVIO,Production Associates,NO,"Spinoff de electronica de Continental. Cuenta nueva relevante."
San Luis Potosi,ABB,Craft Worker LV-1 / LV-21 (varias),SI,Ya tenemos 3 contactos ABB en SLP.
San Luis Potosi,3M,Operador de Robots Automatizados,NO,Automatizacion, senal debil de SMT.
Ciudad Juarez,Honeywell Technologies,"Sr SMT Process Engineer, Lead R&O Maint Technician (SMT), varios Mfg Eng Technician",SI,"El mas activo en SMT de Juarez. Ya tenemos a Jorge Mendoza (Lead Commodity PCBA/EMS)."
Ciudad Juarez,Foxconn San Jeronimo,SMT Equipment Engineer,SI,Ya tenemos contactos Foxconn.
Ciudad Juarez,Jabil,Process Technician,SI,EMS grande. Ya en la base.
Ciudad Juarez,Flex,Tecnico de pruebas,SI,EMS grande. Ya en la base.
Ciudad Juarez,Vishay Intertechnology,Laser / Laser Marker / Coater,NO,"Fabricante de componentes pasivos: es PROVEEDOR, no comprador. Competencia indirecta."
Ciudad Juarez,Wiwynn,FAE Supervisor,NO,ODM de servidores. Cuenta nueva.
Ciudad Juarez,HCLTech,Technical Lead Post Silicon Validation,NO,Servicios de ingenieria, no compra componentes.
