tanda,Clave,Nombre,tipo_final,confianza_tipo,dominio,URL_cruda,presencia_mx,estado_mx,listo_para_comprar,Notas
1,1009110,Baxter International Inc.,OEM,Alta,baxter.com,baxter.com,SI,CDMX | Nuevo Leon,SI,
1,1008762,General Motors,OEM,Alta,gm.com,gm.com,SI,,SI,
1,1001037,John Deere Electronic Solutions,OEM,Alta,deere.com,deere.com,SI,Coahuila de Zaragoza,SI,in 2018 JDES aligned their independent suppliers
1,1011817,Kearfott,OEM,Alta,kearfott.com,kearfott.com,SI,TAMAULIPAS,SI,OEM (Subsidiary of Astronautics) of guidance
1,1008755,Kidde UTC,OEM,Alta,kidde.com,kidde.com,SI,,SI,
1,1011974,Kidde-Deugra,OEM,Alta,kidde-deugra.com,kidde-deugra.com,SI,,SI,
1,1013032,Philips North America LLC,OEM,Alta,usa.philips.com,usa.philips.com,SI,,SI,Philips Healthcare (Precision Diagnosis)
1,1011039,Thales Imperva,OEM,Alta,imperva.com,imperva.com,SI,CDMX,SI,
1,1012141,Thales SIXT,OEM,Alta,thalesgroup.com,thalesgroup.com,SI,CDMX,SI,
1,1012319,ZKW,OEM,Alta,zkw-group.com,zkw-group.com,SI,Guanajuato | Mexico City,SI,
1,1009654,A-E Electronics SA,EMS/CM,Alta,aee.ro,aee.ro,,,SI,Subsidiary of Elbit Systems
1,1009819,ADF Technologies Sdn Bhd,EMS/CM,Alta,adftech.com.my,adftech.com.my,,,SI,BMS Building Management System / EMS Energy
1,1011096,AEVEX Aerospace,OEM,Alta,aevex.com,aevex.com,,,SI,
1,1012846,APACER TECHNOLOGY INC.,OEM,Alta,apacer.com,apacer.com,,,SI,
1,1007266,ASML,OEM,Alta,asml.com,asml.com,,,SI,
1,1009280,ASS.EL. S.R.L.,EMS/CM,Alta,assel.it,assel.it,,,SI,EMS
1,1009682,Adam Hall GmbH,EMS/CM,Alta,adamhall.com,adamhall.com,,,SI,cem's are based in China and Tschechien
1,1005729,Advanced Circuits,EMS/CM,Alta,4pcb.com,4pcb.com,,,SI,CM
1,1009281,Alpha Elettronica S.r.l.,OEM,Alta,alphaelettronica.com,alphaelettronica.com,,,SI,OEM
1,1012769,Alstom France,OEM,Alta,alstom.com,alstom.com,,,SI,
1,1012813,Alstom Transport India Limited,OEM,Alta,alstom.com,alstom.com,,,SI,
1,1009141,Applied Materials India Private Limited,OEM,Alta,appliedmaterials.com,appliedmaterials.com,,,SI,
1,1009286,Atex Industries s.r.l.,OEM,Alta,atexindustries.it,atexindustries.it,,,SI,OEM
1,1012452,Atlas Copco Energas GmbH,OEM,Alta,atlascorp.com,atlascorp.com,,,SI,Working this accoun with Klaus
1,1011646,"Axiomtek Co., Ltd",OEM,Alta,axiomtek.com,axiomtek.com,,,SI,
1,1010183,BESTec-etp Freiburg GmbH,EMS/CM,Alta,bestec-gmbh.de,bestec-gmbh.de,,,SI,CEM for Northrop
1,1009265,Becton Dickinson (BD),OEM,Alta,bd.com,bd.com,,,SI,
1,1012074,"Broadcom, Inc",OEM,Alta,broadcom.com,broadcom.com,,,SI,
1,1009989,Brooks Instrument,OEM,Alta,BrooksInstrument.com,BrooksInstrument.com,,,SI,
1,1009287,CBE S.r.l.,EMS/CM,Alta,cbe.it,cbe.it,,,SI,EMS
1,1008821,Cal-Comp Electronics,EMS/CM,Alta,calcomp.co.th,calcomp.co.th,,,SI,
1,1010648,CalAmp,OEM,Alta,calamp.com,calamp.com,,,SI,
1,1011936,Continental Aerospace Technologies GmbH,OEM,Alta,continentaldiesel.com,continentaldiesel.com,,,SI,
1,1011202,Crown Technical Systems,OEM,Alta,crowntechnicalsystems.com,crowntechnicalsystems.com,,,SI,
1,1010665,Drager,OEM,Alta,draeger.com,draeger.com,,,SI,
1,1009648,EbV Elektronikbau- und Vertriebs GmbH,OEM,Alta,ebv-gmbh.eu,ebv-gmbh.eu,,,SI,"ESS customer, OEM is eg Audiotec Fischer"
1,1012049,FREQUENTIS Deutschland GmbH,OEM,Alta,frequentis.com,frequentis.com,,,SI,
1,1009760,Fritsch Elektronik GmbH,EMS/CM,Alta,fritsch-gmbh.de,fritsch-gmbh.de,,,SI,EMS for Oban Europe
1,1010908,General Dynamics European Land Systems-De,OEM,Alta,gdels.com,gdels.com,,,SI,
1,1010538,Goldmund SA,OEM,Alta,goldmund.com,goldmund.com,,,SI,ESS customer / OEM
1,1010028,HEM Sp. z o.o.,OEM,Alta,hem-e.com,hem-e.com,,,SI,OEM
1,1006797,HEXAGON,OEM,Alta,hexagon.com,hexagon.com,,,SI,Hexagon's Agriculture division
1,1011822,"Howard Industries, Inc.",OEM,Alta,howard.com,howard.com,,,SI,OEM computers and technology solutions
1,1009421,ICCO EMT,EMS/CM,Alta,icco.ro,icco.ro,,,SI,EMS company
1,1009953,IMM electronics GmbH,EMS/CM,Alta,imm-electronics.de,imm-electronics.de,,,SI,ESS Customer / EMS
1,1012383,ITS Electronics,OEM,Alta,itselectronics.com,itselectronics.com,,,SI,OEM
1,1010863,Ideal Power,OEM,Alta,idealpower.com,idealpower.com,,,SI,"Revenue extremely low $87,000, OEM of power"
1,1009198,Illinois Tool Works,OEM,Alta,itw.com,itw.com,,,SI,
1,1008792,Indic EMS Electronics Pvt Ltd,EMS/CM,Alta,indicelectronics.com,indicelectronics.com,,,SI,valued partner
1,1009454,KOBER S.R.L. - Motan Centrale termice,OEM,Alta,motan.ro,motan.ro,,,SI,OEM
1,1013370,Kinematics,OEM,Alta,gokinematics.com,gokinematics.com,,,SI,OEM - Motion control solutions
1,1010072,LENNOX,OEM,Alta,lennox.com,lennox.com,,,SI,
1,1009182,LSI Industries,OEM,Alta,lsicorp.com,lsicorp.com,,,SI,OEM of commercial lighting and displays
1,1010141,Lacroix Electronics GmbH,EMS/CM,Alta,lacroix-electronics.de,lacroix-electronics.de,,,SI,
1,1012303,Leonardo Global Solutions,OEM,Alta,leonardoglobalsolutions.com,leonardoglobalsolutions.com,,,SI,
1,1012304,Leonardo Italia,OEM,Alta,leonardo.com,leonardo.com,,,SI,
1,1009539,"Leonardo Romania Aerospace, Defence & Sec.",OEM,Alta,leonardo.com,leonardo.com,,,SI,
1,1010797,Lightware Visual Engineering,OEM,Alta,lightware.com,lightware.com,,,SI,
1,1009752,Limtronik GmbH,EMS/CM,Alta,limtronik.de,limtronik.de,,,SI,
1,1009261,Locus Robotics,OEM,Alta,locusrobotics.com,locusrobotics.com,,,SI,OEM of autonomous mobile robots (AMRs)
1,1009921,MARIAN GmbH,OEM,Alta,marian.de,marian.de,,,SI,OEM from Epsa and Assmy & Bottger
1,1010524,MEKRA Lang Gruppe,OEM,Alta,mekra.de,mekra.de,,,SI,
1,1013198,Magna Yuma Pvt Ltd.,OEM,Alta,yuma.energy,yuma.energy,,,SI,
1,1009259,Maxwell Energy Systems,OEM,Alta,maxwellenergy.co,maxwellenergy.co,,,SI,Automotive OEM
1,1008701,"Micro Systems Engineering, Inc",EMS/CM,Alta,mst.com,mst.com,,,SI,
1,1009118,Microchip Technology,OEM,Alta,mmt-technology.com,mmt-technology.com,,,SI,
1,1010872,Miltech Hellas SA,OEM,Alta,miltech.gr,miltech.gr,,,SI,
1,1009135,Nash Industries (I) Pvt Ltd.,EMS/CM,Alta,nashindia.com,nashindia.com,,,SI,Start Up EMS
1,1011982,Northrop Grumman LITEF GmbH,OEM,Alta,litef.de,litef.de,,,SI,
1,1009924,ORBAN Europe GmbH,EMS/CM,Alta,orban.com,orban.com,,,SI,ESS Customer / CEM Fritsch Elektronik
1,1013033,One Stop Systems,OEM,Alta,onestopsystems.com,onestopsystems.com,,,SI,leader in rugged HPC solutions
1,1009289,Paso SPA,OEM,Alta,paso.it,paso.it,,,SI,OEM
1,1008637,Pepperl+Fuchs Mannheim,OEM,Alta,amplify.pepperl-fuchs.com,amplify.pepperl-fuchs.com,,,SI,
1,1007918,Pony AI,OEM,Alta,pony.ai,pony.ai,,,SI,autonomous vehicle technology company
1,1010221,Premio Inc.,OEM,Alta,premioinc.com,premioinc.com,,,SI,OEM/OCM - Computer Hardware Manufacturing
1,1009617,Primax Electronics Ltd.,OEM,Alta,primax.com.tw,primax.com.tw,,,SI,
1,1010109,RD Electronic AS,EMS/CM,Alta,rd.ee,rd.ee,,,SI,EMS
1,1001070,RTX,OEM,Alta,raytheon.com,raytheon.com,,,SI,Raytheon; NFDs approved by RIS
1,1004193,RUAG,OEM,Alta,ruag.com,ruag.com,,,SI,Ruag Space now under Beyond Gravity
1,1011891,Rheinmetall AG,OEM,Alta,rheinmetall.com,rheinmetall.com,,,SI,
1,1012008,Rheinmetall Air Defence AG,OEM,Alta,rheinmetall.com,rheinmetall.com,,,SI,
1,1011894,Rheinmetall MAN Military Vehicles GmbH,OEM,Alta,rheinmetall.com,rheinmetall.com,,,SI,
1,1011895,Rheinmetall MAN Military Vehicles Osterreich,OEM,Alta,rheinmetall.com,rheinmetall.com,,,SI,
1,1011897,Rheinmetall Waffe Munition GmbH,OEM,Alta,rheinmetall.com,rheinmetall.com,,,SI,
1,1012223,Richardson Electronics,OEM,Alta,rell.com,rell.com,,,SI,OEM
1,1009522,SC SOFTRONIC SRL,OEM,Alta,softronic.ro,softronic.ro,,,SI,OEM - Railway
