tanda,Clave,Nombre,tipo_final,presencia_mx,estado_mx,zi_nombre,zi_pais,zi_ciudad,zi_empleados,zi_company_id,dominio_recuperado,match_entidad,riesgo_trampa,nota
2,1007831,Cal-Comp Electronics & Communications CO.,EMS/CM,SI,Tamaulipas,Cal-Comp Electronics Public,Mexico,,10,468320195,cal-comp.com.mx,OK-MX,NO,"Tiene entidad y dominio mexicanos propios. La matriz es calcomp.co.th (Tailandia, 34,035 empl, id 15732454): usar el .com.mx para la planta de Tamaulipas."
2,1001024,Flex,EMS/CM,SI,Aguascalientes | Jalisco,,,,,,,NO ENCONTRADA,SI,"Ni 'Flex' ni 'Flextronics' devuelven entidad mexicana. Buscar 'Flex' con country=Mexico trae companias sin relacion (Pk-Flex, Flex-Coah, Fuel Flex): tomar cualquiera de esas seria un falso positivo."
2,1001099,GPV,EMS/CM,SI,Jalisco,GPV Group,Denmark,Vejle,2838,354140914,gpv-group.com,OK-MATRIZ,SI,Solo existe la matriz danesa. El CRM le marca planta en Jalisco y ZoomInfo no la tiene: el dominio corporativo no garantiza el correo de la planta.
2,1007587,International Control Services,EMS/CM,SI,NUEVO LEON,International Control Services,United States,"Decatur, Illinois",96,351566917,internationalcontrolservices.com,OK-EEUU,SI,El CRM la ubica en NUEVO LEON y ZoomInfo solo tiene la entidad de Illinois. Mismo patron que SIIX: verificar antes de usar el dominio.
2,1008501,"CCM Assembly & Manufacturing, Inc",EMS/CM,SI,BAJA CALIFORNIA,CCM Assembly & Manufacturing,United States,"San Marcos, California",26,22450554,ccmassembly.com,OK-EEUU,SI,"El CRM dice BAJA CALIFORNIA y ZoomInfo la ubica en San Marcos CA. Patron SEACOMP: oficina del lado americano, planta del lado mexicano."
2,1004121,Zollner Electronics,EMS/CM,SI,Tamaulipas,Zollner,Germany,"Zandt, Bavaria",13000,372646850,zollner-electronics.com,OK,NO,"Ya comprado en la sesion anterior. ZoomInfo publica zollner.de como sitio, pero el correo real verificado es @zollner-electronics.com. El sitio web no es el dominio de correo."
2,1005414,Advanced Assembly,EMS/CM,,,Advanced Assembly,United States,"Madison, Wisconsin",28,374771454,advancedassembly.com,OK,NO,"Match exacto de nombre. Hay dos homonimas parciales en Michigan (Advanced Assembly Products, Advanced Vehicle Assemblies) que no son esta."
2,1006107,"Anjie Wireless Technology (Suzhou) Co., Ltd",EMS/CM,,,"Anjie Wireless Technology (Suzhou) Co., Ltd.",China,Suzhou,15,1317727426,anjiewl.com,OK,NO,"Match exacto. 15 empleados: cuenta chica, copy en ingles."
2,1004992,"Exa Thermometrics India Pvt., Ltd DTA",EMS/CM,,,EXA Thermometrics India Pvt,India,"Mount St Joseph, Karnataka",25,1311605767,exathermometrics.com,OK,NO,Hay dos entidades del mismo grupo: la de 301 empl usa exathermometrics.co.in y la de 25 empl (la que coincide con el CRM) usa exathermometrics.com.
2,1005428,"Fabrinet Co., Ltd.",EMS/CM,,,Fabrinet,Cayman Islands,George Town,16457,13763104,fabrinet.com,OK,NO,"Matriz. Tiene filiales con dominio propio (fabrinetuk.co.uk, fabrinet.jp, fabrinetwest.com): elegir segun la planta objetivo."
2,1004024,API Technologies Corporation,EMS/CM,,,,,,,,,AMBIGUA,SI,"Los 25 resultados de 'API Technologies' son companias distintas (api-tech.ru, attenuator.com, apitech-solution.com). Ninguna se puede afirmar como la del CRM."
2,1005001,Enics,EMS/CM,,,Enics Slovakia sro,Slovakia,Nova Dubnica,36,1337964581,,PARCIAL,NO,Solo aparece la filial eslovaca y sin sitio web. La matriz suiza/finlandesa no esta en ZoomInfo.
2,1005583,"BYD Precision Manufacture Co., Ltd.",EMS/CM,,,BYD Precision Manufacturing,China,Shenzhen,167,1319856811,,PARCIAL,NO,Entidad localizada pero ZoomInfo no le publica sitio web.
2,1007310,Digitronic GmbH,EMS/CM,,,,,,,,,NO ENCONTRADA,SI,"La entidad alemana no aparece. Los matches son Digitronic de Mexico City (digitronic.com.mx) y de Rusia: empresas distintas, no usar."
2,1004978,"DREAMTECH Co., Ltd",EMS/CM,,,,,,,,,NO ENCONTRADA,SI,Los 35 matches son Dreamtech Press y Dreamtech Hardware (India) y Dreamtech (Francia). El EMS coreano no esta.
2,1006281,Addvalue Innovation Pte Ltd,EMS/CM,,,,,,,,,NO ENCONTRADA,NO,0 resultados.
2,1007604,Gemosz Kft,EMS/CM,,,,,,,,,NO ENCONTRADA,NO,0 resultados. Duplicado con la clave 1007602 del mismo nombre.
2,1006851,Preh Group,OEM,SI,Nuevo Leon,,,,,,,NO ENCONTRADA,SI,Sin entidad mexicana en ZoomInfo pese a que el CRM le marca planta en Nuevo Leon.
