Clave,Nombre,URL,tipo_final,Notas
1001037,John Deere Electronic Solutions,deere.com,OEM,in 2018 JDES aligned their independent suppliers
1002718,OSI Electronics,www.o...,EMS/CM,"AERO/defense, medical, automotive, industrial"
1003487,Firstronic,www.fir...,EMS/CM,
1004799,Xylem,www.x...,OEM,
1006290,Joyson Safety Systems,www.j...,OEM,
1007534,BOSE Corporation,www...,OEM,
1007714,vielectronics,vi...,EMS/CM,
1007831,Cal-Comp Electronics & Communications CO.,www.c...,EMS/CM,
1008285,SIT Group,www.s...,OEM,Manufacturer of Electronic Controls / Electric
1008325,Silbit,sil...,EMS/CM,
1008432,Continental Automotive Components Malaysia,www.c...,OEM,
1010234,YURA corporation,yuracorp.co.kr,OEM,
