rank,region,Clave,Nombre,URL,tipo_final,Notas
1,MX,1005538,AJ Electronic Design SA de CV,www.a...,EMS/CM,EMS
2,MX,1006293,TKR de Mexico S.A. de C.V.,tkrde...,EMS/CM,
3,MX,1013136,Textron Aviation Mexico,textron.com,OEM,
4,MX,1010948,Turck Duotec,turck.com.mx,OEM,
5,MX,1004637,Bunker Electronics S.A. de C.V.,www...,OEM,Manufacturing their own technology (speakers)
6,US,1010920,ACC Electronix,accelectronix.com,EMS/CM,CM supplying rugged products
7,US,1011756,ASI,acceleratedsystems.com,EMS/CM,acceleratedsystems
8,US,1011638,"Altek Electronics, Inc A Cyient DLM Company",altekelectronics.com,EMS/CM,"EMS & CM: PCB assemblies, box builds - Torrington"
9,US,1008901,Anand Industrial Enterprises,aiesmt.com,EMS/CM,EMS customer service
10,US,1010944,Arc-tronics,arc-tronics.com,EMS/CM,Tier 2 CM
11,US,1011840,BSU Inc,bsuinc.com,EMS/CM,CM of circuit board assembly & design
12,US,1012117,CE3 Electronics,ce3electronics.com,EMS/CM,EMS
13,US,1011843,Carnegie Robotics,carnegierobotics.com,EMS/CM,creating full-stack autonomous systems
14,US,1011849,"DTS, Inc.",dtsweb.com,EMS/CM,manufacturer of data acquisition systems
15,US,1012929,Delta Star Inc.,deltastar.com,EMS/CM,"~680 Employees, $500M-$1B revenue - EMS"
16,US,1009797,EME Automation,emeautomation.com,EMS/CM,electronic systems
17,US,1008684,FEMSA,femsa.com,EMS/CM,grupo FEMSA - Imbera / Torey
18,US,1011813,Globalstar,globalstar.com,EMS/CM,OEM & CM (supports MDA Space) of satellite
19,US,1012063,Hensoldt AG,hensoldt.net,EMS/CM,"Radar systems for land, sea and air"
20,US,1005199,Hiller Measurements,hillermeas.com,EMS/CM,provides electronic services
21,US,1005356,Iceberg Technology Corporation,N/A,EMS/CM,OEM -- connected via Gerald Hom @ Rocket EMS
22,US,1010188,Kopin,kopin.com,EMS/CM,Mack Tech is their CM
